BibID,Shelfmark,Title,Full Coverage?,Facets,,folder
9948558353503681,Oversize LJS 239,"[Pattern-book of bridles, bits and straps] [manuscript].",N,"16th century, German, Germany, Drawing, Painting, Paper, Animal culture",,oversize_ljs_239
9952666523503681,Oversize LJS 24,[Medical miscellany] [manuscript].,Y,"13th century, Illumination, Treatise, Science -- Medicine, Miscellany, Christian, France, French",,oversize_ljs_24
9954084983503681,LJS 242,Basis grammatice [manuscript].,Y,"15th century, Commentary, Treatise, Grammar, France, French, Tables",,ljs242
9946458153503681,Oversize LJS 25,Liber metaphisice ; Liber ethicorum [manuscript]. Metaphysics,,"13th century, Italy, Italian, Philosophy",,oversize_ljs_25
9947594443503681,Oversize LJS 252,"Manuscript leaf from Physics, circa 1300. Physics. Latin. Selections.",,"13th century 14th century, Philosophy, English, England, Fragment, Science",,oversize_ljs_252
9948588323503681,Oversize LJS 254,[Buch von den probierten Kü̈̈nsten] [manuscript].,Y,"16th century, German, Germany, Paper, Illustration, Treatise, Science, Paper, Military art and science",,oversize_ljs_254
9959171953503681,Oversize LJS 255,Manuscript leaf from De casibus virorum illustrium [manuscript]. De casibus virorum illustrium. French (Middle French). Selections,N,"15th century, French, France, Fragment, Illumination, Literature -- Poetry, Literature -- Prose",,oversize_ljs_255
9946463483503681,LJS 26,Algorismus [manuscript] ; Tractatum de sphaera.,,"13th century, Italy, Italian, Astronomy, Treatise, Cosmology, Diagrams",,ljs26
9957607433503681,LJS 264,Image du monde. Ymage du monde [manuscript].,N,"14th century 15th century, French, France, Diagrams, Illumination, Astronomy, Cosmology, Geography, Illustration",,ljs264
9947675343503681,LJS 265,Liber ruralium commodorum [electronic resource]. Ruralia commoda,,"15th century, Illumination, Italy, Italian",,ljs265
9949525113503681,Oversize LJS 266,La generacion de Adam [manuscript].,N,"15th century, Chronicle, Genealogy, Bible, Biblical, History, France, French",,oversize_ljs_266
9948617063503681,LJS 267,De ludo scacchorum seu de moribus hominum et officiis nobilium ... [etc.] [manuscript].,N,"15th century, Italian, Italy, Palimpsest, Astronomy, Christian",,ljs267
9950583033503681,Oversize LJS 268,[Almagest] [manuscript].,Y,"14th century, Arabic, Spain, Paper, Astronomy, Document, Tables",,oversize_ljs_268
9947974193503681,LJS 27LJS 27,Algorismus [manuscript].,,"15th century, Italy, Drawings, Italian, Mathematics",,ljs27ljs_27
9950003033503681,LJS 271,"Niccolò di Giovanni Machiavelli receipt, 1531.",N,"16th century, Financial records, Accounts, Paper, Italian",,ljs271
9949965493503681,Badia di Cava ARCA 84 n. 14,"Waldipertus land grant document, 821.",N,"9th century, Legal, Italian, Document, Italy",,badia_di_cava_arca_84_n_14
9949965603503681,Badia di Cava ARCA 84 n. 205,"Martinus land sale document, 823 .",N,"9th century, Legal, Italian, Document, Italy",,badia_di_cava_arca_84_n_205
9949183233503681,Oversize LJS 278,Kitāb-i ḥashāʼish [manuscript]. De materia medica. Selections,N,"16th century, Persian, Painting, Science, Science -- Medicine, Paper, India",,oversize_ljs_278
9948452623503681,Oversize LJS 28,[Portolan atlas] [manuscript].,N,"16th century, Italy, Italian, Cartography, History",,oversize_ljs_28
9949533433503681,Oversize LJS 280,Decretales a[b]breviate [manuscript]. Decretales Gregorii IX. Selections.,N,"13th century, Legal, Pontifical, Christian, French, France",,oversize_ljs_280
9950004193503681,Oversize LJS 285,"Decreto di banco feneratitio, 1542.",N,"16th century, Legal, Italian, Document, Seals, History, Jewish, Charter",,oversize_ljs_285
9948188123503681,LJS 286,Tadhkirah uṣūl handasah al-ḥisāb li-Uqlīdis [manuscript].,,"15th century, Commentary, Diagrams, Mathematics, Persia, Persian, Paper, Science",,ljs286
9958578743503681,LJS 289,Algorismus [manuscript].,N,"15th century, Italy, Italian, Treatise, Mathematics",,ljs289
9950270113503681,LJS 29,Extratto da un libro de razza da cavalli del re Ferrante vechio de Aragona [manuscript].,N,"16th century, Italy, Italian, Treatise, Animal culture",,ljs29
9948193403503681,LJS 293,[Kitāb al-Bayān wa al-tidhkār fī sanʻat ʻamal al-ghubār] [manuscript].,Y,"12th century, Arabic, Treatise, Mathematics, Paper, Iraq",,ljs293
9950574213503681,LJS 295,[Kitāb-i Advār] [manuscript]. Adwār. Persian,Y,"15th century, Commentary, Diagrams, Iran, Persian, Paper, Philosophy",,ljs295
9960048803503681,LJS 296,Īḍāḥ al-maqāṣid li-farāʼiḍ al-fawāʼid [manuscript].,,"14th century, Diagrams, Mathematics, Treatise, Islamic, Persian, Arabic, Iran",,ljs296
9958651873503681,LJS 299,[Sefer ha-Ḳanon] ... [etc.] [manuscript]. Qānūn fī al-ṭibb. Hebrew,Y,"Encyclopedia, 15th century 16th century, Yemen, Annotated, Commentary, Science -- Medicine, Jewish, Paper",,ljs299
9949184223503681,LJS 300,[Calendarium and ephemerides] [manuscript].,N,"Almanac, 15th century 16th century, Austrian, Austria, Paper, Astronomy, Paper, Devotion",,ljs300
9949582773503681,LJS 304,"[Dogale issed by Doge Alvise Mocenigo to Girolamo Pruli, podestà of Brescia] [manuscript].",N,"16th century, Dogale, Italian",,ljs304
9947488333503681,Oversize LJS 308,"Edward III letter patent, 1347.",,"14th century, England, English, Document",,oversize_ljs_308
9959994823503681,LJS 310,Map of district in Tarn-et-Garonne [electronic resource].,,"15th century 16th century, History, Cartography, French, France, History, Cistercians",,ljs310
9954104743503681,LJS 311,[Sefer ha-Ḳanon] ... [etc.] [manuscript]. Qānūn fī al-ṭibb. Hebrew,Y,"15th century, Treatise, Science -- Medicine, Paper, Italy, Italian",,ljs311
9954111003503681,LJS 312,[ʻIr Siḥon] [manuscript].,N,"15th century, Mathematics, Spain, Sephardi, Paper",,ljs312
9960311683503681,Oversize LJS 321,"A geometricall extraction for all affected to the mathematickes [manuscript] : with sundry strange conclusions both by instrument and without, and also by perspective glasses, to set forth the true disscription or exact plat of a whole region, very plesant and full of delight in practis, also, most profitable to all surveighers, or others that are desirous to make any inclosure, with a treaty of fortifications as well regularly as irregularly / by John Darker.",,"15th century 17th century, Astronomy, Diagrams, English, England, Mathematics",,oversize_ljs_321
9958611913503681,Oversize LJS 322,[Fragments from Books III-V of Qānūn fī al-ṭibb] [manuscript]. Qānūn fī al-ṭibb. Selections.,Y,"13th century, Turkey, Iran, Arabic, Treatise, Paper, Fragment, Science -- Medicine",,oversize_ljs_322
9960979573503681,LJS 325,[Collation of L'ethica d'Aristotile ridotta in compendio] [manuscript].,,"16th century, Italy France, Italian French, Commentary, Philosophy, Science, Paper",,ljs325
9959836903503681,LJS 33,Spanish Forger illumination [electronic resource].,,"14th century 15th century, Spanish, Spain, Illumination",,ljs33
9949541473503681,LJS 342,[Copies of documents relating to water rights in Milan] [manuscript].,Y,"15th century, Legal, Italian, Document, Annotated, History, Italy",,ljs342
9958307223503681,LJS 345,Inventions or devises [manuscript].,N,"16th century, English, England, Diagrams, Drawing, Science, Paper",,ljs345
9949672393503681,Oversize LJS 346,[Edicts concerning Jews in Mantua] [manuscript].,N,"16th century, Italian, Paper, History, Italy",,oversize_ljs_346
9959428163503681,LJS 347,De consolatione philosophiae [manuscript].,,"14th century, England, English, Philosophy",,ljs347
9949914483503681,LJS 35,"Manuscript leaves from a canon law text, between 1240 and 1260. Decretales Gregorii IX. Selections.",N,"13th century, Commentary, Pontifical, Christian",,ljs35
9958615963503681,Oversize LJS 355,[Books III-V of al-Qānūn fī al-ṭibb] [manuscript]. Qānūn fī al-ṭibb. Selections,N,"15th century, Treatise, Science -- Medicine, Paper, Arabic",,oversize_ljs_355
9957628103503681,Oversize LJS 356,[Pattern-books of bridles and harnesses] [manuscript].,N,"16th century, Drawing, German, Paper, Germany, Italy, Austria, Czech Republic, Animal culture",,oversize_ljs_356
9950010533503681,LJS 358,"Letter to Rodolfo Pio da Carpi, ca. 1560?",N,"16th century, Commentary, Italian, Literature -- Prose, Paper, Italy",,ljs358
9954196093503681,Oversize LJS 359,Liber canonis [manuscript]. Qānūn fī al-ṭibb. Latin,N,"13th century, Treatise, Science -- Medicine, England, English",,oversize_ljs_359
9949888993503681,Oversize LJS 36,"Manuscript leaf from an account of the Jewish Wars, 1100s.",N,"12th century, History, Fragment, Jewish, Italy",,oversize_ljs_36
9951500353503681,LJS 361,[Astronomical and astrological tables] [manuscript].,Y,"14th century, Astrology, Astronomy, Tables, Commentary, Diagrams, Italy, Italian",,ljs361
9948054933503681,LJS 37,[Ikhtiṣār min al-maqālāt min kitāb Uqlīdis] [manuscript]. Elements. Arabic,,"12th century, Diagrams, Mathematics, Science, Arabic, Egypt Iraq Syria, Paper",,ljs37
9949857513503681,LJS 379,[Edict concerning Jews in Livorno and Pisa] [manuscript].,N,"16th century, Italian, Italy, History, Jewish",,ljs379
9958164163503681,LJS 38,[Prayers and commentary] [manuscript].,N,"15th century, Annotated, Diagrams, Paper, Turkey, Islamic, Commentary, Prayer book",,ljs38
9958041303503681,LJS 380,Pros mathēmatikous ... [etc.] [manuscript].,N,"15th century, Italy, Treatise, Commentary, Grammar, Mathematics, Astrology, Logic, Science, Italian",,ljs380
9946491823503681,LJS 381,Crispi Sallustii de Catheli[n]e co[n]jurac[i]o[n]e liber [manuscript] ; Jugurtinum bellum ei[us]de[m]. Bellum Catilinae,,"15th century, History, Italy, Italian, Accounts",,ljs381
9957839383503681,LJS 382,[Alchemical compendium] [manuscript].,N,"Anthology, 15th century, Drawing, Diagrams, Czech, Alchemy, Science -- Medicine, Paper, Austria, Austrian",,ljs382
9950012923503681,LJS 383,"Ratiffica[ti]on pour noble Gaolon Garnier dit de la Galliniere, 1592.",N,"16th century, French, Legal, Document, Paper",,ljs383
9946262693503681,LJS 384,[De philosophia mundi] ... [etc.] [manuscript]. Philosophia mundi,,"12th century, German, Diagrams, Germany, Astronomy, Geography, Science -- Medicine, Maps, Meteorology",,ljs384
9954371393503681,LJS 385,[School miscellany] [manuscript].,N,"Anthology, 15th century 16th century, Annotated, Literature -- Prose, Science -- Medicine, Paper, Italy, Italian",,ljs385
9948249193503681,LJS 386,[Kitāb Mīzān al-ḥikmah] [manuscript]. Mīzān al-ḥikmah. Selections.,N,"13th century, Arabic, Diagrams, Tables, Document, Paper",,ljs386
9954380453503681,LJS 387,[Qāmūs al-muḥīṭ] [manuscript].,N,"14th century 15th century, Arabic, Dictionary, Illumination, Paper, Iran",,ljs387
9950681223503681,LJS 388,[Mulakhkhaṣ fī al-hayʼah] [manuscript].,N,"14th century, Arabic, Iran, Diagrams, Astronomy, Paper",,ljs388
9957614163503681,Oversize LJS 391,"Fragment of manuscript bifolium from the Liber ad Almansorem, 1200s. Kitāb al-Manṣūrī. Latin. Selections.",N,"13th century, Fragment, Science -- Medicine, Arabic, Gloss",,oversize_ljs_391
9950804433503681,LJS 392,[Taḥrīr al-majisti] [manuscript].,Y,"15th century, Arabic, Iran, Commentary, Diagrams, Astronomy, Paper",,ljs392
9958939253503681,LJS 393,[Sharḥ Fusūl Ibuqrāṭ] [manuscript] ; [Kitāb ibn Isḥāq].,Y,"14th century, Syria, Egypt, Paper, Commentary, Science -- Medicine, Arabic",,ljs393
9954408103503681,LJS 394,[Section of Tāj al-lughah wa-ṣiḥāḥ al-ʻArabīyah] [manuscript]. Ṣiḥāḥ. Selections,Y,"14th century, Arabic, Dictionary, Illumination, Paper, Science -- Medicine, Egypt, Syria",,ljs394
9959248983503681,LJS 395,"Manuscript pastedowns from De proprietatibus rerum, 1200s.",,"13th century, Fragments, Science--Medicine, Mathematics, French, France",,ljs395
9951607923503681,LJS 397,[Astronomy lecture notes] [manuscript].,Y,"16th century, Diagrams, Collection of Sermons, Astronomy, History, Germany, German",,ljs397
9958945863503681,LJS 398,[Khalq al-insān] [manuscript].,Y,"13th century, Syria, Iraq, Science -- Medicine, Treatise, Arabic, Paper",,ljs398
